step	train_loss	val_loss	roc_auc_macro
500	0.057300	0.049473	0.966328
1000	0.047400	0.046109	0.974565
1500	0.050100	0.047193	0.968266
2000	0.045500	0.046377	0.980477
2500	0.044500	0.044242	0.980249
3000	0.047500	0.039939	0.982596
3500	0.037000	0.040651	0.981643
4000	0.044400	0.043360	0.985797
4500	0.037700	0.038643	0.985345
5000	0.038400	0.039234	0.987011
5500	0.036700	0.042652	0.987208
6000	0.036200	0.039404	0.986324
6500	0.033800	0.041718	0.988439
7000	0.039100	0.040520	0.986710
7500	0.035200	0.039014	0.986831
8000	0.034200	0.037977	0.987014
