step	train_loss	val_loss	roc_auc_macro
500	0.052800	0.048624	0.969358
1000	0.053500	0.049696	0.978421
1500	0.046000	0.043548	0.981134
2000	0.048700	0.043338	0.982133
2500	0.044700	0.041547	0.982710
3000	0.042700	0.043287	0.983866
3500	0.049100	0.040779	0.985112
4000	0.040300	0.043475	0.986343
4500	0.035900	0.042086	0.986918
5000	0.038900	0.040812	0.987791
5500	0.043400	0.040149	0.988082
6000	0.040500	0.038611	0.988170
6500	0.038500	0.038449	0.988693
7000	0.039000	0.038950	0.988934
7500	0.034300	0.038139	0.989438
8000	0.035600	0.039007	0.989789
8500	0.035600	0.038397	0.989512
9000	0.032500	0.037623	0.990195
9500	0.034400	0.039748	0.990340
10000	0.036200	0.038037	0.990263
10500	0.033200	0.038812	0.990536
11000	0.034200	0.038523	0.990697
11500	0.034700	0.037362	0.990868
