step	train_loss	val_loss	roc_auc_macro
500	0.049000	0.047469	0.962836
1000	0.047200	0.051378	0.977459
1500	0.045800	0.044072	0.978127
2000	0.043300	0.047796	0.983207
2500	0.042900	0.041797	0.983433
3000	0.041000	0.039730	0.984964
3500	0.042600	0.041252	0.986545
4000	0.039400	0.039073	0.986953
4500	0.037900	0.039550	0.986855
5000	0.034900	0.039563	0.987534
5500	0.037100	0.039522	0.988500
6000	0.034200	0.038392	0.988475
6500	0.036400	0.040335	0.989176
7000	0.033300	0.038827	0.989113
7500	0.032500	0.037102	0.989758
8000	0.035500	0.037983	0.990116
8500	0.031200	0.038096	0.987905
9000	0.029100	0.037931	0.989979
9500	0.030800	0.037558	0.989952
