Fold,ROC-AUC-macro
0,0.988334434064107
1,0.9903599484165811
2,0.9867828456758964
3,0.9879205300141197
4,0.989213675453652
mean (ROC-AUC-macro),0.9885222867248713
std,0.0013488952694161189
